測站名稱,測站位置,空品區,運作日期開始,測站類別(主),測站類別(輔),縣市,鄉鎮區,地址,經緯度,東經,CO,NO2,O3,PM10,PM2.5,SO2,NHMC,AMB_TEMP,RAINFALL,RH,WD_HR,WS_HR,WIND_DIREC,WIND_SPEED,RAIN_COND,PH_RAIN,UVB,其它監測項目,細懸浮微粒手動監測,測站高度(m),採樣口高度(m),採樣口氣流角度(°),國道、省道,距離(km),一般道路,距離(m),所在鄉鎮市區人口數量(人),所在鄉鎮市區人口密度(人/平方公里),P_SOX,P_NOX,P_THC,P_TSP,L_SOX,L_NOX,L_THC,L_TSP,A_SOX,A_NOX,A_THC,A_TSP,P_SOX,P_NOX,P_THC,P_TSP,L_SOX,L_NOX,L_THC,L_TSP,A_SOX,A_NOX,A_THC,A_TSP,SOX_fac,SOX_emi,position,distance,NOX_fac,NOX_emi,position,distance,THC_fac,THC_emi,position,distance,TSP_fac,TSP_emi,position,distance
基隆,基隆女中,北部空品區,1991/7/15,一般站,-,基隆市,信義區,基隆市東信路324號,北緯：25度7分45秒 東經：121度45分36.2秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,HORIBA,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,-,-,-,"NO,NOx,CH4,THC",有進行手動監測,12,16.5,360,,,,,"52,735","4,942",4402.6,3026.9,565.6,182.6,2.3,2137.5,1904,2137.5,37.8,83.6,1768.8,2604,99.1,57.7,13.3,3.7,0.1,40.7,44.9,43.4,0.8,1.6,41.8,52.9,,,,,,,,,,,,,,,,
汐止,忠厚市場,北部空品區,1991/7/19,一般站,-,新北市,汐止區,221新北市汐止區樟樹二路136巷221號,北緯：25度4分1.7秒 東經：121度38分32.3秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,-,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,-,-,-,"NO,NOx",有進行手動監測,9,13.5,360,,,,,"204,671","2,873",64,419.5,957.6,137,5.8,4998.8,5435,4998.8,144.5,299.2,4911.3,5750.5,29.8,7.3,8.5,1.3,2.7,87.4,48.1,45.9,67.5,5.3,43.4,52.8,,,,,,,,,,,,,,,,
萬里,綜合商場,北部空品區,1991/7/17,一般站,背景站,新北市,萬里區,新北市萬里區瑪鋉路221號,北緯：25度10分46.8秒 東經：121度41分23.6秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,-,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,Ogasawara us-760S,Ogasawara us-760S,-,"NO,NOx",無進行手動監測,27,31.5,360,,,,,"21,128",333,4386.7,3012.4,586.7,189.2,2,1844.3,1678.8,1844.3,32.5,74.3,1451,2417.9,99.2,61.1,15.8,4.2,0,37.4,45.2,41.4,0.8,1.5,39,54.4,,,,,,,,,,,,,,,,
新店,大豐國小,北部空品區,1991/7/18,一般站,-,新北市,新店區,新北市新店區民族路108號,北緯：24度58分38秒 東經：121度32分16秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,-,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,-,-,-,"NO,NOx",無進行手動監測,13,17.5,360,,,,,"295,565","2,458",137.3,646.2,1557.1,140.1,9.2,7331.7,9655.4,7331.7,285.8,601.6,5140.3,12543.9,31.8,7.5,9.5,0.7,2.1,85.5,59,36.6,66.1,7,31.5,62.7,,,,,,,,,,,,,,,,
土城,新北市立新北高級工業職業學校,北部空品區,1991/7/17,一般站,-,新北市,土城區,新北市土城區學府路一段241號,北緯：24度58分57.1秒 東經：121度27分6.7秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,HORIBA,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,-,-,-,"NO,NOx,CH4,THC",無進行手動監測,13,17.5,360,,,,,"236,403","7,998",996.8,2133,5760.2,368.4,9.7,8195.2,9716.7,8195.2,261,563.4,293.3,12680,78.6,19.6,36.5,1.7,0.8,75.2,61.6,38.6,20.6,5.2,1.9,59.7,,,,,,,,,,,,,,,,
板橋,新北市立板橋高級中學,北部空品區,1991/7/17,一般站,-,新北市,板橋區,新北市板橋區文化路一段25號,北緯：25度0分46.7秒 東經：121度27分31.2秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,HORIBA,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,Ogasawara us-760S,Ogasawara us-760S,,"NO,NOx,CH4,THC",有進行手動監測,15,19.5,360,,,,,"234,804","10,148",961.2,2129.9,6122.3,348.7,13.3,11505.3,12929,11505.3,340,730.1,308.8,15581.3,73.1,14.8,31.6,1.3,1,80.1,66.8,41.9,25.9,5.1,1.6,56.8,,,,,,,,,,,,,,,,
新莊,輔仁大學,北部空品區,1991/7/17,一般站,-,新北市,新莊區,新北市新莊區中正路510號,北緯：25度2分16.7秒 東經：121度25分57秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,-,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,-,-,-,"NO,NOx",無進行手動監測,13,17.5,360,,,,,"418,443","21,200",1215.6,3363.4,6228.5,535.9,12.2,10941.3,11471.2,10941.3,292.8,631.8,497.3,14831.4,79.9,22.5,34.2,2,0.8,73.3,63,41.6,19.3,4.2,2.8,56.4,,,,,,,,,,,,,,,,
菜寮,新北市市立三重高級商工,北部空品區,1991/7/17,一般站,-,新北市,三重區,新北市三重區中正北路163號,北緯：25度4分8.2秒 東經：121度28分51.7秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,-,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,-,-,-,"NO,NOx",無進行手動監測,13,17.5,360,,,,,"378,723","23,210",390.8,1166.6,2578.6,250,13.2,11091.8,13268.5,11091.8,373.6,793.3,295.9,16808.5,50.3,8.9,16,0.9,1.7,85,82.2,39.4,48,6.1,1.8,59.7,,,,,,,,,,,,,,,,
林口,新北市特教中心,北部空品區,1991/7/17,一般站,-,新北市,林口區,新北市林口區文化路一段425號,北緯：25度4分37.9秒 東經：121度22分36.7秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,-,Metone 083D,Ogasawara us-760S,Metone 083D,Metone 024 A,Metone 014A,Metone 024 A,Metone 014A,-,-,-,"NO,NOx",無進行手動監測,15,19.5,360,,,,,"125,394","2,316",3397.9,6202.8,7331.9,841.4,7.5,7774.3,5940.2,7774.3,128.4,280.4,4162.3,10528.5,96.2,43.5,42.1,4.4,0.2,54.5,34.1,40.6,3.6,2,23.8,55,,,,,,,,,,,,,,,,
淡水,淡水氣象站,北部空品區,2004/11/20,一般站,-,新北市,淡水區,新北市淡水區中正東路42巷6號,北緯：25度9分52.2秒 東經：121度26分57.3秒,,HORIBA_APMA360,ECOTECH_ML9841,ECOTECH_ML9810,METONE_BAM1020,METONE_BAM1020,ECOTECH_ML9850,-,Metone 083D,Ogasawara us-760S,Metone 083D,-,-,Metone 024 A,Metone 014A,-,-,,"NO,NOx",無進行手動監測,0,4.5,360,,,,,"184,923","2,617",177.3,1112.6,536.7,121,4.3,3838.9,4281.1,3838.9,91.3,199,3292.4,5343.2,65,21.6,6.6,1.3,1.6,74.5,52.8,41.3,33.4,3.9,40.6,57.4,,,,,,,,,,,,,,,,
